Address,Suburb,CouncilArea
37 Illuka Cr,Mount Waverley,Monash
15 Lynden Gr,Mount Waverley,Monash
11 Pamela St,Mount Waverley,Monash
37 Pascall St,Mount Waverley,Monash
76 Hansworth St,Mulgrave,Monash
12 Orion Ct,Mulgrave,Monash
1 Sneddon Ct,Mulgrave,Monash
12 Emily Dr,Narre Warren,Casey
70 Anderson St,Newport,Hobsons Bay
8 Brown St,Newport,Hobsons Bay
21 Haldane Rd,Niddrie,Moonee Valley
8 Aberdeen Gr,Northcote,Darebin
92 Beavers Rd,Northcote,Darebin
217 Westgarth St,Northcote,Darebin
107 New Rd,Oak Park,Moreland
242 Waterloo Rd,Oak Park,Moreland
19 Luntar Rd,Oakleigh South,Kingston
29 Evan St,Parkdale,Kingston
25 Rhodes Pde,Pascoe Vale,Moreland
13 Yorkshire St,Pascoe Vale,Moreland
18 Creswick Dr,Point Cook,Wyndham
38 Yuruga Bvd,Point Cook,Wyndham
50 McCormack St,Port Melbourne,Port Phillip
84 Ross St,Port Melbourne,Port Phillip
62 Donald St,Prahran,Stonnington
19 Porter St,Prahran,Stonnington
73 Pridham St,Prahran,Stonnington
23 Lyonsville Av,Preston,Darebin
106 Malpas St,Preston,Darebin
112 McIlwraith St,Princes Hill,Yarra
119 Boldrewood Pde,Reservoir,Darebin
75 Botha Av,Reservoir,Darebin
9 Delaware St,Reservoir,Darebin
7 Loddon Av,Reservoir,Darebin
4/27 McMahon Rd,Reservoir,Darebin
76 North Rd,Reservoir,Darebin
37 Spencer Pl,Richmond,Yarra
29 Type St,Richmond,Yarra
5 Bigola St,Ringwood,Maroondah
33 Nelson St,Ringwood,Maroondah
14 Norfolk Av,Ringwood,Maroondah
4 Short St,Ringwood East,Maroondah
5 Unsworth Rd,Ringwood North,Maroondah
4 Devlin Ct,Rosanna,Banyule
28 Millicent St,Rosanna,Banyule
21 Orion Wy,Roxburgh Park,Hume
7 Duff St,Sandringham,Bayside
6 Jennings St,Sandringham,Bayside
9 Armin St,Scoresby,Knox
145 George St,Scoresby,Knox
250 Ferrars St,South Melbourne,Port Phillip
16 Margaret St,South Yarra,Stonnington
731 Princes Hwy,Springvale,Greater Dandenong
26 Carnarvon Rd,Strathmore,Moonee Valley
26 Briarwood Ct,Sunbury,Hume
60 Riddell Rd,Sunbury,Hume
1 Whitty La,Sunbury,Hume
5 Barnett St,Sunshine,Brimbank
117 Berkshire Rd,Sunshine North,Brimbank
6 Melton Av,Sunshine North,Brimbank
2/98 Durham Rd,Surrey Hills,Boroondara
29 Essex Rd,Surrey Hills,Boroondara
10 Pembroke St,Surrey Hills,Whitehorse
36 Newmans Rd,Templestowe,Manningham
15 Alison St,Thomastown,Whittlesea
89 Cedar St,Thomastown,Whittlesea
4 Charlton Pl,Thomastown,Whittlesea
119A Harold St,Thornbury,Darebin
